m/z	i
3784.24 16677
3784.61 16400
3784.98 15531
3785.35 16181
3785.73 21614
3786.10 24326
3786.47 23510
3786.84 20346
3787.22 17790
3787.59 16313
3787.96 13559
3788.33 9574
3788.70 9112
3789.08 10193
3789.45 10644
3789.82 9195
3790.19 6910
3790.57 5788
3790.94 3940
3791.31 -242
3791.68 -1439
3792.06 -3217
3792.43 -5486
3792.80 -5644
3793.17 -4831
3793.55 -3244
3793.92 1238
3794.29 7102
3794.66 11485
3795.04 13291
3795.41 16809
3795.78 20634
3796.16 24041
3796.53 25022
3796.90 24701
3797.27 25841
3797.65 27064
3798.02 25955
3798.39 26377
3798.76 25984
3799.14 26760
3799.51 26204
3799.88 23839
3800.26 19776
3800.63 15342
3801.00 10265
3801.38 7146
3801.75 8014
3802.12 6951
3802.49 5835
3802.87 3885
3803.24 599
3803.61 -790
3803.99 133
3804.36 2651
3804.73 520
3805.11 -1231
3805.48 -551
3805.85 793
3806.23 3968
3806.60 7081
3806.97 9335
3807.35 12385
3807.72 13304
3808.09 12725
3808.46 11663
3808.84 10543
3809.21 9796
3809.58 8085
3809.96 9000
3810.33 10132
3810.71 9080
3811.08 5253
3811.45 1600
3811.83 1157
3812.20 3977
3812.57 6722
3812.95 7219
3813.32 5558
3813.69 3627
3814.07 6374
3814.44 11515
